"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-24","0.00","0.8","35","40","30"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-25","0.00","0.4","39","48","33"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-26","0.09",,"40","46","34"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-27","0.08",,"43","50","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-28","0.01",,"48","58","38"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-29","0.00",,"54","62","43"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-30","0.00",,"63","74","52"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-03-31","0.01",,"67","76","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-01","0.78",,"50","56","46"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-02","0.13",,"51","62","45"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-03","0.00",,"61","73",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-04","0.00",,"65","75","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-05","0.00",,"59","73","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-06","0.35",,"53","56",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-07","0.02",,"53","60","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-08","0.00",,"63","75","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-09","0.00",,"67","77","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-10","0.00",,"67","75","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-11","0.00",,"62",,"54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-12","0.00",,"68","82","55"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-13","0.00",,"70","78","65"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-14","0.00",,"68","80","54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-15","0.00",,"68","73","64"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-16","0.00",,"62",,
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-17","0.12",,"60","64","55"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-18","0.17",,"59","65","57"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-19","0.00",,"64","76","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-20","0.00",,"63","72","55"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-21","0.00",,"63","76","48"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-22","0.00",,"66","80","51"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-23","0.00",,"71","84","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-24","0.00",,"70","81","59"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-25","0.00",,"71","84","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-26","0.00",,"71","83",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-27","0.00",,"64","73","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-28","0.00",,"71","85","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-29","0.00",,"75","85","67"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-04-30","0.00",,"73","86","65"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-01","0.00",,"73","84","61"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-02","0.00",,"75","86","65"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-03","0.00",,"75","84","66"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-04","0.00",,"75","83","68"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-05","0.15",,"69","81","61"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-06","0.09",,"68","76","62"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-07","0.02",,"67","79","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-08","0.00",,"66","76","54"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-09","0.00",,"69","80","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-10","0.00",,"68","74","62"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-11","0.00",,"72","82","61"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-12","0.00",,"71","84","60"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-13","0.00",,"68","79","62"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-14","0.00",,"64","72",
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-15","0.51",,"66","78","60"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-16","1.19",,"61","71","53"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-17","0.06",,"65","73","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-18","0.00",,"66","77","56"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-19","0.00",,"66","74","60"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-20","0.18",,"67","76","57"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-21","0.00",,"69","79","58"
"RIE00100818","BELGRADE OBSERVATORY, RI","2018-05-22","0.00",,"69","78","60"
